,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
984,100985,34,0,11,0,13,0,1,1,256,29,63,1,1,815,0,8,3,2,0,63,1,-1.0065444202093976
985,100986,13,0,7,0,33,0,1,5,284,28,65,1,0,817,0,10,3,2,0,46,1,-0.9861499717404936
986,100987,40,0,16,0,28,4,0,0,211,9,78,0,0,849,0,1,2,1,0,45,1,-1.0929682618287688
987,100988,24,0,17,0,37,2,0,0,235,16,75,1,0,946,1,7,4,5,0,46,1,-0.9993895027059901
988,100989,25,0,39,0,23,3,0,7,301,16,65,3,0,769,1,8,4,3,1,53,1,-1.053567805019843
989,100990,23,0,8,0,54,0,1,4,248,24,67,1,1,888,1,4,6,5,0,52,1,-1.1003834009470672
990,100991,22,0,15,0,3,1,2,6,259,29,58,2,0,723,1,13,2,2,0,58,1,-1.013305658822265
991,100992,29,0,16,0,32,1,0,2,373,29,55,1,1,752,0,11,1,1,0,33,1,-1.06238283385563
992,100993,29,1,6,0,25,1,1,3,229,14,69,2,0,818,0,2,1,0,0,54,1,-1.1114812649175514
993,100994,34,0,20,0,43,3,1,4,160,11,76,2,0,861,2,5,4,4,1,52,1,-1.08626082582746
994,100995,23,0,17,0,18,2,1,1,281,36,65,2,0,804,0,9,1,0,0,60,1,-1.0079368448560786
995,100996,23,0,3,0,16,0,0,8,282,26,66,1,0,697,1,12,5,3,0,48,1,-1.0059734165845864
996,100997,19,0,13,0,35,1,0,0,295,17,66,0,0,710,0,5,5,4,0,45,1,-0.9982268081614575
997,100998,22,0,26,0,33,3,0,0,216,16,72,0,0,741,0,8,7,4,0,39,1,-1.0489562124309146
998,100999,40,0,36,0,13,6,1,0,149,13,82,1,0,897,0,2,1,1,0,42,1,-1.2596435259383345
999,101000,26,0,33,0,29,1,1,0,227,18,79,3,0,912,1,6,2,1,2,46,1,-1.0894165061167818
