,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,score,outlier
753,100754,33,0,16,0,12,2,1,3,197,21,74,1,0,914,0,5,3,3,0,52,0.17437260194060483,1
754,100755,32,0,16,0,47,2,1,5,326,19,62,0,0,766,1,5,3,4,1,36,0.12389744194909824,1
755,100756,13,0,24,0,25,2,1,3,329,31,58,3,0,646,0,13,2,1,1,45,0.11211735830111247,1
756,100757,26,0,1,0,3,1,0,4,243,22,71,0,0,814,0,8,5,4,0,69,0.14566966581379265,1
757,100758,26,0,19,0,34,2,1,6,267,12,70,1,0,840,0,3,3,3,0,49,0.16229807385240458,1
758,100759,21,0,2,0,8,1,0,2,251,27,65,1,0,729,0,5,4,3,0,59,0.16686686151072705,1
759,100760,32,1,20,0,13,1,1,0,371,33,58,0,0,696,0,9,3,1,1,63,0.0782414800829574,1
760,100761,25,0,7,0,53,1,0,2,263,15,66,0,0,793,1,6,3,1,0,43,0.16175219365992716,1
761,100762,32,0,5,0,13,2,0,14,276,30,64,1,0,760,0,10,3,3,0,53,0.1630034361294202,1
762,100763,26,0,0,0,18,1,1,5,320,28,66,1,0,893,0,6,1,2,0,64,0.15408889751959587,1
